month,trip_count,temperature,temperature_change_since_prev_day
12,17604,11,0
12,10405,5,-2
12,14562,5,-2
12,13954,4,-3
12,17504,12,1
12,20927,11,-1
12,18380,11,0
12,9594,12,7
12,13413,13,8
12,13292,13,8
12,17159,16,4
12,19770,16,4
12,17757,17,6
12,7843,15,3
12,11056,15,2
12,11469,14,2
12,17341,14,-2
12,19234,14,-1
12,19192,14,-2
12,6795,-3,-10
12,9638,-3,-9
12,10607,-3,-9
12,13727,2,-1
12,14042,2,-2
12,12530,2,-1
12,6095,1,3
12,8582,0,3
12,9791,1,4
12,13616,6,3
12,13799,6,3
12,11375,6,3
12,5652,4,3
12,8043,4,4
12,9244,3,3
12,13604,8,2
12,13441,8,3
12,11865,7,2
12,4921,1,-3
12,6711,0,-4
12,8442,-1,-4
12,13210,2,-6
12,12816,2,-7
12,11035,2,-6
1,6496,2,-9
1,8353,1,-10
1,8147,1,-10
1,11412,-2,-16
1,11065,-2,-17
1,8760,-3,-16
1,11473,-1,1
1,12083,0,2
1,9672,1,3
1,8141,1,7
1,10703,1,7
1,9848,1,7
1,11086,6,7
1,11633,7,7
1,9930,8,7
1,7334,4,3
1,9607,4,3
1,9067,4,3
1,13004,3,-3
1,13989,3,-4
1,12079,3,-4
1,5378,-2,-6
1,8069,-2,-6
1,7952,-2,-6
1,13846,1,-2
1,15582,0,-3
1,16909,1,-3
1,8742,3,4
1,11623,2,2
1,9602,1,1
1,12392,-2,-5
1,13018,-2,-6
1,11095,-2,-6
1,10621,-5,3
1,13537,3,11
1,15089,3,11
1,12819,4,11
1,8932,2,8
1,11810,2,7
1,10068,2,7
1,13721,9,6
1,15386,9,6
1,13310,8,4
1,8006,4,3
1,10574,4,3
1,9349,4,2
1,15409,5,-4
1,17944,4,-4
1,19466,4,-4
1,9641,-1,-4
1,13390,-1,-6
1,11391,-1,-5
1,14032,2,-1
1,15633,2,0
1,12713,2,-1
1,9829,-1,-1
1,13368,-1,1
1,11237,0,1
1,14331,7,5
1,16341,9,7
1,13769,9,7
1,10841,7,8
1,15770,6,6
1,13398,4,4
1,15602,1,-7
1,18598,1,-8
1,16601,1,-8
1,9745,-1,3
1,13543,-1,3
1,11429,-1,3
1,13503,-1,-3
1,14388,-1,-3
1,12076,0,-2
1,10172,3,3
1,13323,3,3
1,11360,3,3
1,14563,5,6
1,16531,6,6
1,14302,6,6
1,10703,-4,-7
1,15041,-5,-8
1,12488,-5,-8
1,17044,-3,-8
1,19473,-3,-9
1,17190,-3,-9
1,16644,-2,2
1,19748,-1,2
1,18400,-1,3
1,9421,-1,7
1,12715,-1,7
1,11345,-1,7
1,16135,-1,1
1,18819,0,1
1,20589,0,1
1,13772,-1,4
1,15293,-1,3
1,13705,-1,3
2,10407,-4,2
2,14359,-4,2
2,13186,-4,2
2,15017,2,2
2,17496,2,3
2,15713,2,3
2,10142,1,5
2,12745,1,6
2,11961,1,6
2,15203,8,6
2,18080,8,6
2,16630,7,6
2,11581,6,5
2,15913,6,5
2,13876,7,6
2,16964,7,-1
2,19901,7,-1
2,19675,8,1
2,10320,13,7
2,15270,13,7
2,13016,13,6
2,20095,1,-7
2,23374,1,-6
2,23680,0,-8
2,10943,-1,7
2,15487,0,8
2,13887,0,8
2,15032,2,5
2,16575,3,4
2,13831,3,4
2,11448,2,3
2,15436,2,2
2,13067,2,2
2,16436,7,4
2,19246,7,4
2,16854,4,1
2,11560,-1,-3
2,15609,-1,-3
2,13776,-1,-3
2,16890,7,0
2,19959,8,1
2,18142,6,2
2,11279,4,6
2,15049,6,7
2,13322,5,6
2,17751,12,5
2,21383,11,3
2,19318,11,5
2,9728,7,2
2,12662,6,0
2,11671,6,1
2,18372,14,2
2,21431,13,2
2,23359,12,1
2,19125,-5,-4
2,22157,-5,-4
2,22850,-5,-4
2,16819,-3,2
2,20281,-2,3
2,18276,-2,3
2,11614,-2,7
2,15802,-1,7
2,14034,-1,8
2,17413,6,8
2,19802,6,8
2,18143,6,8
2,11101,11,12
2,14777,11,12
2,13029,12,12
2,16638,19,13
2,19643,20,14
2,17731,17,11
2,9448,14,4
2,12066,16,5
2,11384,17,5
2,16355,5,-14
2,19622,5,-15
2,22261,4,-13
2,9934,4,3
2,14132,3,3
2,12793,3,3
2,19170,12,1
2,21296,12,-0
2,18299,12,0
2,10539,16,12
2,14568,16,13
2,13162,16,13
2,16580,18,6
2,20116,19,7
2,19734,20,8
2,11658,0,-16
2,15674,-1,-17
2,14515,-1,-17
2,18632,0,-18
2,22340,0,-19
2,20824,1,-19
2,11101,-1,-1
2,16536,0,1
2,17135,0,1
2,18999,0,0
2,23083,1,1
2,24758,3,2
2,10930,-1,1
2,14997,-1,1
2,13962,-2,0
2,16131,0,-6
2,18410,1,-6
2,15629,1,-7
3,11878,0,1
3,16593,1,2
3,15173,1,2
3,17578,6,6
3,20511,6,5
3,18200,7,6
3,11729,7,7
3,16033,7,6
3,14753,6,6
3,17878,8,3
3,21123,9,3
3,19203,10,3
3,11412,8,1
3,15706,7,0
3,14868,7,1
3,19236,5,-3
3,22796,5,-4
3,22949,4,-6
3,19536,1,-4
3,22912,2,-3
3,24557,2,-2
3,10868,19,13
3,14112,18,12
3,12110,18,12
3,16336,23,8
3,17120,23,6
3,14232,23,4
3,12072,7,-12
3,16232,6,-13
3,15172,5,-13
3,18194,7,-16
3,20920,7,-16
3,19037,7,-16
3,12473,5,-2
3,17026,5,-1
3,19070,5,0
3,21527,1,-6
3,23753,1,-7
3,21448,1,-6
3,11581,1,-4
3,16078,1,-4
3,15341,1,-4
3,18085,8,7
3,21477,9,9
3,21645,9,8
3,9523,6,4
3,13383,5,4
3,12646,5,4
3,17957,12,4
3,18994,12,2
3,23287,11,1
3,9449,2,8
3,13247,2,7
3,12880,2,7
3,14626,12,12
3,15794,12,12
3,14465,13,13
3,10456,8,6
3,15086,8,7
3,14346,8,6
3,16183,19,7
3,18740,20,8
3,17212,19,6
3,10251,13,5
3,14817,13,4
3,14124,12,4
3,16648,18,-1
3,19635,18,-2
3,19386,16,-3
3,10370,8,-6
3,14797,7,-6
3,16357,7,-5
3,18261,10,-8
3,21520,10,-8
3,19845,11,-6
3,8449,11,3
3,11699,11,3
3,11888,11,3
3,17011,21,11
3,20272,22,12
3,22276,22,12
3,9431,7,-7
3,14233,7,-6
3,12845,7,-6
3,14388,15,2
3,15593,16,2
3,13614,16,3
3,10714,10,3
3,14902,9,2
3,13857,9,2
3,16901,12,-3
3,19268,13,-2
3,16968,14,-2
3,10798,6,-4
3,15369,6,-4
3,14615,6,-3
3,19131,9,-3
3,22504,8,-5
3,19923,7,-7
3,11311,4,-1
3,16545,4,-1
3,16434,4,-1
3,18882,7,-3
3,22098,7,-1
3,20470,7,0
3,8410,7,3
3,12181,7,3
3,12038,7,3
3,17927,15,8
3,21799,14,7
3,22605,13,6
3,11327,-4,-8
3,15500,-4,-9
3,14765,-5,-9
3,17857,-1,-8
3,19876,-2,-9
3,17477,-1,-6
3,12610,-4,0
3,17859,-4,1
3,16695,-4,1
3,20174,1,2
3,22863,1,3
3,20090,2,3
3,12302,-1,3
3,17572,-2,2
3,16165,-1,3
3,20214,6,5
3,22912,7,6
3,20387,7,6
3,11305,8,9
3,16007,8,10
3,15205,7,8
3,19516,16,10
3,22949,16,9
3,21157,19,12
4,9990,15,7
4,13822,14,7
4,13302,13,6
4,20615,13,-3
4,24743,12,-4
4,25318,11,-8
4,10390,4,-2
4,14332,4,-2
4,13388,4,-2
4,15841,12,5
4,17073,12,4
4,14506,12,3
4,11281,8,4
4,16004,8,3
4,15168,8,3
4,18346,12,0
4,20053,13,1
4,16591,12,0
4,12387,7,-2
4,17848,7,-1
4,19738,7,-1
4,19468,10,-2
4,21350,11,-2
4,17971,11,-1
4,11497,8,2
4,15977,8,1
4,15652,8,1
4,21731,9,-1
4,23986,10,-1
4,21877,11,-0
4,9304,10,2
4,13121,10,2
4,12932,9,2
4,18176,15,6
4,20531,17,7
